breakfast,lunch,dinner
Bacon Egg Cheese Biscuit,Charbroiled Hamburger,Chuckwagon Chili
Ham Egg Cheese Muffin,Grilled Chicken Breast,Flame Roasted Corn & Black Beans
Entree Tofu Scramble,Strawberry Fruit Leather,Micro Brew French Fries
Sausage Egg Cheese Croissant,Vegan Chili,Deep Fried Tater Tots
Apple Red Delicious,Gluten Free Apple & Cinnamon Oatmeal,Monterey Jack Cheese Sauce
Banana,Gluten Free Maple Brown Sugar Oatmeal,Shredded Cheddar Jack Cheese
Oranges,Overnight Oats,Diced Red Onion
Blueberry Bagel,Beyond Sausage Patty,Freshly Diced Roma Tomatos
Cinnamon Raisin Bagel,Chicken Apple Sausage Links,Bacon Crumbles
Plain Bagel,Deep Fried Tri Taters,Strawberry Fruit Leather
Strawberry Cream Cheese Croissant,Steak Fries,Vegan Chili
Little John Cinnamon Donut,Diced Red Apple,Gluten Free Apple & Cinnamon Oatmeal
Chocolate Soy Milk,Blueberries,Gluten Free Maple Brown Sugar Oatmeal
Vanilla Soy Milk,Cantaloupe Balls,Overnight Oats
Apple Juice,Sliced Strawberries,Beyond Sausage Patty
Orange Juice,Apple Butter,Chicken Apple Sausage Links
Cinnamon Toast Crunch,Marshmallow White Mini 12/1lb,Deep Fried Tri Taters
Cinnamon Chex,Chia Seeds,Steak Fries
Cocoa Puffs,Dark Maple Amber Syrup,Diced Red Apple
Froot Loops,Strawberry Banana Smoothie,Blueberries
Oatmeal,Chocolate Chips,Cantaloupe Balls
Lucky Charms,Craisins,Sliced Strawberries
Cereal Raisin Bran Bowl Pack,Roasted Pepitas,Charbroiled Hamburger
Yoplait Yogurt Strawberry Lite,Dark Brown Sugar,Grilled Chicken Breast
Vanilla Non Fat Greek Yogurt,Seedless Raisins,Apple Butter
Vanilla Soy Yogurt,Ground Cinnamon,Marshmallow White Mini 12/1lb
Peach Mango Soy Yogurt,Popcorn Shrimp,Chia Seeds
Yoplait Yogurt Peach Lite,Meat Lasagna,Dark Maple Amber Syrup
